Source,Target,Weight
100006833971820,100007811195773,4
100006833971820,100086136287688,11
100006833971820,100037971341540,2
100006833971820,100081944692856,11
100006833971820,100078589998620,11
100006833971820,100012920975012,2
100006833971820,100094123076091,11
100006833971820,100010574713732,4
100006833971820,100023224607339,2
100006833971820,100011715770449,3
100006833971820,100079779367930,11
100006833971820,100079989170790,11
100006833971820,100014976528411,2
100006833971820,100079440770802,11
100006833971820,100004297694987,2
100006833971820,100011330460038,2
100006833971820,100008220900883,2
100006833971820,100092296245202,11
100006833971820,100001657913682,1
100006833971820,100028221665425,2
100006833971820,100083295727262,11
100006833971820,100041188877434,2
100006833971820,100065340960858,2
100006833971820,100003772572780,2
100006833971820,100088168869967,11
100006833971820,100008028272799,2
100006833971820,100004453693695,2
100006833971820,100002537883844,5
100006833971820,100091257196613,11
100006833971820,100014225087232,2
100006833971820,100009325673884,2
100006833971820,100089441656893,11
100006833971820,100008612223457,1
100006833971820,100009791952257,4
100006833971820,100011849643689,1
100006833971820,100050422320707,2
100006833971820,100083520887636,11
100006833971820,100002123869936,2
100006833971820,100082257806963,11
100006833971820,100004787044962,2
100041792267293,100086756088955,2
100041792267293,100085040808935,2
100041792267293,100080327048230,2
100041792267293,100006833971820,2
100041792267293,100001884645265,2
100041792267293,100082469666072,2
100041792267293,100086136287688,2
100041792267293,100081944692856,2
100041792267293,100078589998620,2
100041792267293,100094123076091,2
100041792267293,100011715770449,2
100041792267293,100079779367930,2
100041792267293,100079989170790,2
100041792267293,100079440770802,2
100041792267293,100092296245202,2
100041792267293,100083295727262,2
100041792267293,100003772572780,2
100041792267293,100088168869967,2
100041792267293,100008028272799,2
100041792267293,100002537883844,2
100041792267293,100091257196613,2
100041792267293,100089441656893,2
100041792267293,100083520887636,2
100041792267293,100082257806963,2
100001884645265,100086756088955,13
100001884645265,100006069215765,2
100001884645265,100026907492072,2
100001884645265,100085040808935,13
100001884645265,100080327048230,13
100001884645265,100007096600721,2
100001884645265,100038394284854,1
100001884645265,100006833971820,11
100001884645265,100041792267293,2
100001884645265,100035713475971,7
100001884645265,100082469666072,13
100001884645265,100009649545320,4
100001884645265,100007811195773,4
100001884645265,100086136287688,13
100001884645265,100037971341540,3
100001884645265,100081944692856,13
100001884645265,100078589998620,13
100001884645265,100005968629295,1
100001884645265,100012920975012,2
100001884645265,100094123076091,13
100001884645265,100010574713732,4
100001884645265,100007981214611,1
100001884645265,100023224607339,2
100001884645265,100011715770449,3
100001884645265,100079779367930,13
100001884645265,100079989170790,13
100001884645265,100019552652541,2
100001884645265,100014976528411,2
100001884645265,100079440770802,13
100001884645265,100004297694987,2
100001884645265,100011330460038,2
100001884645265,100008220900883,2
100001884645265,100092296245202,13
100001884645265,100001657913682,1
100001884645265,100028221665425,2
100001884645265,100083295727262,13
100001884645265,100009466671559,1
100001884645265,100041188877434,4
100001884645265,100065340960858,2
100001884645265,100003772572780,2
100001884645265,100088168869967,13
100001884645265,100008028272799,2
100001884645265,100004453693695,2
100001884645265,100002537883844,5
100001884645265,100091257196613,13
100001884645265,100014225087232,2
100001884645265,100009325673884,2
100001884645265,100089441656893,13
100001884645265,100008612223457,1
100001884645265,100060479528651,2
100001884645265,100009791952257,4
100001884645265,100011849643689,1
100001884645265,100050422320707,2
100001884645265,100027296823095,1
100001884645265,100083520887636,13
100001884645265,100002123869936,2
100001884645265,100082257806963,13
100001884645265,100004787044962,2
100035713475971,100086756088955,9
100035713475971,100006069215765,4
100035713475971,100026907492072,2
100035713475971,100085040808935,9
100035713475971,100080327048230,9
100035713475971,100038394284854,1
100035713475971,100006833971820,5
100035713475971,100001884645265,7
100035713475971,100082469666072,9
100035713475971,100009649545320,2
100035713475971,100007811195773,2
100035713475971,100086136287688,9
100035713475971,100037971341540,3
100035713475971,100081944692856,9
100035713475971,100078589998620,9
100035713475971,100005968629295,1
100035713475971,100094123076091,9
100035713475971,100007981214611,1
100035713475971,100023224607339,2
100035713475971,100011715770449,1
100035713475971,100079779367930,9
100035713475971,100079989170790,9
100035713475971,100019552652541,2
100035713475971,100014976528411,2
100035713475971,100079440770802,9
100035713475971,100004297694987,2
100035713475971,100008220900883,2
100035713475971,100092296245202,9
100035713475971,100001657913682,1
100035713475971,100083295727262,9
100035713475971,100009466671559,1
100035713475971,100041188877434,4
100035713475971,100065340960858,2
100035713475971,100088168869967,9
100035713475971,100002537883844,3
100035713475971,100091257196613,9
100035713475971,100014225087232,2
100035713475971,100009325673884,2
100035713475971,100041498236937,2
100035713475971,100089441656893,9
100035713475971,100008612223457,3
100035713475971,100060479528651,2
100035713475971,100009791952257,2
100035713475971,100002115140000,2
100035713475971,100011849643689,1
100035713475971,100050422320707,2
100035713475971,100027296823095,1
100035713475971,100083520887636,9
100035713475971,100013653588406,2
100035713475971,100002123869936,2
100035713475971,100082257806963,9
100035713475971,100004787044962,2
100082469666072,100086756088955,18
100082469666072,100006069215765,4
100082469666072,100026907492072,2
100082469666072,100085040808935,18
100082469666072,100080327048230,18
100082469666072,100007096600721,2
100082469666072,61560427569839,1
100082469666072,100038394284854,1
100082469666072,100006833971820,11
100082469666072,100041792267293,2
100082469666072,100001884645265,13
100082469666072,100035713475971,9
100082469666072,100009649545320,4
100082469666072,100007811195773,5
100082469666072,100086136287688,18
100082469666072,100037971341540,3
100082469666072,100081944692856,18
100082469666072,100078589998620,18
100082469666072,100005968629295,1
100082469666072,100012920975012,2
100082469666072,100094123076091,18
100082469666072,100010574713732,4
100082469666072,100007981214611,1
100082469666072,100023224607339,2
100082469666072,100011715770449,3
100082469666072,100079779367930,18
100082469666072,100079989170790,18
100082469666072,100019552652541,2
100082469666072,100014976528411,2
100082469666072,100079440770802,18
100082469666072,100004297694987,2
100082469666072,100011330460038,2
100082469666072,100008220900883,4
100082469666072,100092296245202,18
100082469666072,100001657913682,1
100082469666072,100028221665425,2
100082469666072,100083295727262,18
100082469666072,100009466671559,1
100082469666072,100041188877434,4
100082469666072,100065340960858,2
100082469666072,100003772572780,3
100082469666072,100088168869967,18
100082469666072,100008028272799,2
100082469666072,100004453693695,2
100082469666072,100002537883844,6
100082469666072,100091257196613,18
100082469666072,100014225087232,2
100082469666072,100009325673884,2
100082469666072,100041498236937,2
100082469666072,100089441656893,18
100082469666072,100008612223457,3
100082469666072,100060479528651,2
100082469666072,100009791952257,4
100082469666072,100002115140000,2
100082469666072,100011849643689,1
100082469666072,100050422320707,3
100082469666072,100027296823095,1
100082469666072,100083520887636,18
100082469666072,100013653588406,2
100082469666072,100002123869936,2
100082469666072,100082257806963,18
100082469666072,100004787044962,2
100009649545320,100086756088955,4
100009649545320,100006069215765,2
100009649545320,100026907492072,2
100009649545320,100085040808935,4
100009649545320,100080327048230,4
100009649545320,100007096600721,2
100009649545320,100006833971820,4
100009649545320,100001884645265,4
100009649545320,100035713475971,2
100009649545320,100082469666072,4
100009649545320,100086136287688,4
100009649545320,100081944692856,4
100009649545320,100078589998620,4
100009649545320,100094123076091,4
100009649545320,100010574713732,2
100009649545320,100023224607339,2
100009649545320,100079779367930,4
100009649545320,100079989170790,4
100009649545320,100079440770802,4
100009649545320,100004297694987,2
100009649545320,100008220900883,2
100009649545320,100092296245202,4
100009649545320,100028221665425,2
100009649545320,100083295727262,4
100009649545320,100041188877434,2
100009649545320,100065340960858,2
100009649545320,100088168869967,4
100009649545320,100091257196613,4
100009649545320,100009325673884,2
100009649545320,100089441656893,4
100009649545320,100083520887636,4
100009649545320,100002123869936,2
100009649545320,100082257806963,4
100007811195773,100086756088955,5
100007811195773,100085040808935,5
100007811195773,100080327048230,5
100007811195773,100006833971820,4
100007811195773,100001884645265,4
100007811195773,100035713475971,2
100007811195773,100082469666072,5
100007811195773,100086136287688,5
100007811195773,100037971341540,2
100007811195773,100081944692856,5
100007811195773,100078589998620,5
100007811195773,100012920975012,2
100007811195773,100094123076091,5
100007811195773,100010574713732,2
100007811195773,100079779367930,5
100007811195773,100079989170790,5
100007811195773,100014976528411,2
100007811195773,100079440770802,5
100007811195773,100011330460038,2
100007811195773,100092296245202,5
100007811195773,100083295727262,5
100007811195773,100088168869967,5
100007811195773,100004453693695,2
100007811195773,100002537883844,3
100007811195773,100091257196613,5
100007811195773,100014225087232,2
100007811195773,100089441656893,5
100007811195773,100009791952257,4
100007811195773,100050422320707,2
100007811195773,100083520887636,5
100007811195773,100082257806963,5
100007811195773,100004787044962,2
100086136287688,100086756088955,18
100086136287688,100006069215765,4
100086136287688,100026907492072,2
100086136287688,100085040808935,18
100086136287688,100080327048230,18
100086136287688,100007096600721,2
100086136287688,61560427569839,1
100086136287688,100038394284854,1
100086136287688,100006833971820,11
100086136287688,100041792267293,2
100086136287688,100001884645265,13
100086136287688,100035713475971,9
100086136287688,100082469666072,18
100086136287688,100009649545320,4
100086136287688,100007811195773,5
100086136287688,100037971341540,3
100086136287688,100081944692856,18
100086136287688,100078589998620,18
100086136287688,100005968629295,1
100086136287688,100012920975012,2
100086136287688,100094123076091,18
100086136287688,100010574713732,4
100086136287688,100007981214611,1
100086136287688,100023224607339,2
100086136287688,100011715770449,3
100086136287688,100079779367930,18
100086136287688,100079989170790,18
100086136287688,100019552652541,2
100086136287688,100014976528411,2
100086136287688,100079440770802,18
100086136287688,100004297694987,2
100086136287688,100011330460038,2
100086136287688,100008220900883,4
100086136287688,100092296245202,18
100086136287688,100001657913682,1
100086136287688,100028221665425,2
100086136287688,100083295727262,18
100086136287688,100009466671559,1
100086136287688,100041188877434,4
100086136287688,100065340960858,2
100086136287688,100003772572780,3
100086136287688,100088168869967,18
100086136287688,100008028272799,2
100086136287688,100004453693695,2
100086136287688,100002537883844,6
100086136287688,100091257196613,18
100086136287688,100014225087232,2
